,Country,GDP_Growth_2018,GDP_Growth_2019,GDP_Growth_2020,GDP_Growth_2021,GDP_Growth_2022,GDP_Growth_2023,GDP_Per_Capi_2018,GDP_Per_Capi_2019,GDP_Per_Capi_2020,GDP_Per_Capi_2021,GDP_Per_Capi_2022,GDP_Per_Capi_2023,Unemployment_2018,Unemployment_2019,Unemployment_2020,Unemployment_2021,Unemployment_2022,Unemployment_2023,Inflation_Rate_2018,Inflation_Rate_2019,Inflation_Rate_2020,Inflation_Rate_2021,Inflation_Rate_2022,Inflation_Rate_2023,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022,Population_2023,Current_Account_2018,Current_Account_2019,Current_Account_2020,Current_Account_2021,Current_Account_2022,Current_Account_2023,Government_Debt_2018,Government_Debt_2019,Government_Debt_2020,Government_Debt_2021,Government_Debt_2022,Government_Debt_2023,Status,Region
111,Mauritania,4.8,3.1,-0.4,0.7,6.8,6.5,1882.203,1945.05,2040.677,2152.336,2206.776,2403.679,NA,NA,NA,NA,NA,NA,3.1,2.3,2.4,3.6,9.6,4.9,3.97,4.058,4.147,4.24,4.334,4.43,-0.976,-0.831,-0.576,-0.782,-1.424,-0.935,59.2,57.7,56.5,54.5,50.5,48.2,Developing,Africa
112,Mauritius,4,2.9,-14.5,3.4,8.9,7,11642.891,11407.849,9010.929,9086.524,10250.571,11543.601,6.9,6.7,9.2,9.1,6.8,6.3,3.2,0.5,2.5,4,10.8,7,1.266,1.265,1.266,1.264,1.261,1.261,-0.555,-0.718,-1.003,-1.497,-1.437,-0.483,63.1,81.1,91.9,85.9,81.2,78.6,Developing,Africa
113,Mexico,2,-0.4,-8.4,6,3.7,3.2,9970.967,10259.746,8742.217,10180.182,11259.75,13641.033,3.3,3.5,4.4,4.1,3.3,2.8,4.9,3.6,3.4,5.7,7.9,5.5,125.996,127.216,128.209,128.983,129.961,131.135,-25.932,-3.871,26.905,-4.494,-17.599,-5.477,52.2,51.9,58.5,56.9,54.2,53.1,Developing,North America
114,Micronesia,0.1,3.8,-1.9,3,-0.9,0.8,3933.37,4001.004,3829.739,4063.49,4540.027,4864.704,NA,NA,NA,NA,NA,NA,1,2.2,1,1.8,5,6.2,0.1,9.80E-02,9.70E-02,9.60E-02,9.50E-02,9.50E-02,8.50E-02,6.30E-02,-2.20E-02,9.00E-03,3.70E-02,1.50E-02,20.1,19.8,21.5,17,14.6,12.4,Developing,Oceania
115,Moldova,4.1,3.6,-8.3,13.9,-5,0.7,4121.047,4376.654,4377.542,5293.206,5726.139,6641.582,3.1,5.1,3.8,3.3,4.6,4.5,3.6,4.8,3.8,5.1,28.6,13.4,2.73,2.682,2.634,2.587,2.541,2.496,-1.212,-1.106,-0.887,-1.699,-2.295,-1.974,31.8,28.8,36.6,33.6,34.9,35.3,Developing,Europe
116,Mongolia,7.7,5.6,-4.6,1.6,5,7.4,4078.182,4309.049,3965.097,4482.853,4959.141,5796.476,7.8,10,7,8.1,6.7,5.4,6.8,7.3,3.7,7.4,15.2,10.3,3.238,3.297,3.358,3.41,3.458,3.505,-2.207,-2.162,-0.675,-2.108,-2.303,0.121,76.5,66.8,83.4,67.7,64.5,46.8,Developing,Asia
117,Montenegro,5.1,4.1,-15.3,13,6.4,6,NA,NA,NA,NA,NA,11696.262,NA,NA,NA,NA,NA,NA,2.6,0.4,-0.2,2.4,13,8.6,NA,NA,NA,NA,NA,0.633,-0.937,-0.791,-1.244,-0.54,-0.807,-0.856,71.9,78.8,107.3,85.6,70.6,61.5,Developed,Europe
118,Morocco,3.1,2.9,-7.2,8.2,1.5,3.4,3615.592,3622.679,3375.438,3911.053,3571.091,3901.397,9.5,9.2,11.9,12.3,11.8,13,1.6,0.2,0.7,1.4,6.6,6.1,35.22,35.587,35.952,36.313,36.67,37.022,-6.219,-4.411,-1.415,-3.33,-4.658,-0.893,60.5,60.3,72.2,69.4,71.5,69.5,Developing,Africa
119,Mozambique,3.5,2.3,-1.2,2.4,4.4,5.4,510.38,512.216,456.582,504.038,572.757,618.283,NA,NA,NA,NA,NA,NA,3.2,5.7,0.9,6.6,10.4,7,29.424,30.286,31.178,32.077,32.97,33.897,-4.425,-2.503,-3.775,-3.436,-6.88,-2.224,105.5,98.3,120,104.3,100.3,93.9,Developing,Africa
120,Myanmar,6.4,6.8,-1.2,-10.5,-4,2.5,1271.677,1302.277,1462.464,1270.854,1146.239,1190.012,NA,NA,NA,NA,NA,NA,5.9,8.6,5.7,3.6,18.4,27.1,52.449,52.832,53.199,53.55,53.886,54.205,-3.139,-1.945,-2.745,-0.201,-2.843,-2.361,40.4,38.8,40.6,61.3,62.4,59.7,Developing,Asia
121,Namibia,1.1,-0.8,-8.1,3.6,5.3,4.2,5381.47,4798.261,3937.667,4476.585,4405.788,4216.111,NA,NA,NA,NA,NA,NA,4.3,3.7,2.2,3.6,6.1,5.9,2.541,2.613,2.688,2.77,2.851,2.928,-0.486,-0.221,0.316,-1.407,-1.632,-1.832,48.7,57.6,64.3,69.6,70,66.1,Developing,Africa
