,Country,GDP_Growth_2018,GDP_Growth_2019,GDP_Growth_2020,GDP_Growth_2021,GDP_Growth_2022,GDP_Growth_2023,GDP_Per_Capi_2018,GDP_Per_Capi_2019,GDP_Per_Capi_2020,GDP_Per_Capi_2021,GDP_Per_Capi_2022,GDP_Per_Capi_2023,Unemployment_2018,Unemployment_2019,Unemployment_2020,Unemployment_2021,Unemployment_2022,Unemployment_2023,Inflation_Rate_2018,Inflation_Rate_2019,Inflation_Rate_2020,Inflation_Rate_2021,Inflation_Rate_2022,Inflation_Rate_2023,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022,Population_2023,Current_Account_2018,Current_Account_2019,Current_Account_2020,Current_Account_2021,Current_Account_2022,Current_Account_2023,Government_Debt_2018,Government_Debt_2019,Government_Debt_2020,Government_Debt_2021,Government_Debt_2022,Government_Debt_2023,Status,Region
160,Somalia,1.4,2.8,-2.8,3.5,2.7,4.2,563.115,602.186,583.956,624.408,653.449,683.343,NA,NA,NA,NA,NA,NA,4.3,4.7,4.1,4.6,6.8,6.2,13.981,14.373,14.775,15.189,15.614,16.051,2.00E-03,-0.837,-0.404,-0.669,-0.837,-1.21,NA,NA,NA,NA,NA,NA,Developing,Africa
161,South Africa,1.6,0.3,-6.2,5,1.9,0.7,6956.41,6582.757,5630.983,6938.723,6629.419,6111.746,27.1,28.7,29.2,34.3,33.5,33.1,4.6,4.1,3.3,4.6,6.9,5.9,58.233,59.131,60.003,60.642,61.356,62.272,-11.865,-10.137,6.653,15.533,-2.035,-6.074,51.5,56.1,68.9,68.7,70.8,73.4,Developing,Africa
162,South Sudan,-2.1,0.9,-6.5,5.3,-5.2,2.5,240.32,302.262,393.589,418.969,550.861,478.118,NA,NA,NA,NA,NA,NA,83.4,49.3,24,30.2,-3.2,40.2,12.976,13.378,13.779,14.179,14.59,15.013,0.342,8.40E-02,-1.023,-0.557,0.743,0.206,69.2,42.8,49.3,52.2,39.9,54.8,Developing,Africa
163,Spain,2.4,2,-10.9,6.7,6.2,2.7,30651.153,29798.124,27214.292,30893.22,30402.921,33895.593,15.3,14.1,15.5,14.9,13,12.2,1.7,0.8,-0.3,3,8.3,3.4,46.729,47.105,47.356,47.331,47.615,47.81,26.888,29.88,10.167,11.303,5.072,43.022,99.7,97.6,119.2,115.6,109.4,105,Developed,Europe
164,Sri Lanka,2.3,-0.2,-4.6,4.2,-7.3,NA,4360.149,4082.694,3846.175,3999.337,3330.376,NA,4.4,4.8,5.5,5.1,5.3,NA,4.3,4.3,4.6,6,45.2,NA,21.67,21.803,21.919,22.156,22.396,NA,-2.798,-1.844,-1.186,-3.285,-0.744,NA,83.6,82.6,96.9,102.7,115.9,NA,Developing,Asia
165,Sudan,-2.3,-2.5,-3.6,0.5,-2.5,-18.3,800.064,728.42,794.696,772.509,718.049,795.679,19.5,22.1,26.8,28.3,32.1,46,63.3,51,163.3,359.1,138.8,77.2,41.985,43.222,44.345,45.498,46.681,47.895,-4.679,-4.78,-5.841,-2.62,-3.794,-1.389,209.8,216.5,278.3,189.6,186.8,252.2,Developing,Africa
166,Suriname,4.9,1.2,-16,-2.4,2.4,2.1,6772.07,6715.747,4782.092,4987.986,5784.332,5879.596,9,8.8,11.1,11.2,10.9,10.6,6.9,4.4,34.9,59.1,52.4,51.6,0.59,0.598,0.609,0.618,0.628,0.637,-0.119,-0.448,0.26,0.176,7.60E-02,0.147,68.6,84,146.4,115.8,116.9,90.3,Developing,South America
167,Sweden,1.9,2.5,-2,5.9,1.5,-0.2,53890.765,51528.899,52522.605,60961.254,55115.015,55433.135,6.4,6.9,8.5,8.9,7.5,7.7,2,1.7,0.7,2.7,8.1,5.9,10.23,10.328,10.379,10.452,10.522,10.552,12.263,28.335,31.649,44.027,28.712,37.756,39.5,35.7,40.3,36.8,33.8,36.4,Developed,Europe
168,Switzerland,2.9,1.2,-2.3,5.6,3.1,0.7,85561.001,84481.041,86138.871,93966.493,94798.83,101510.023,2.5,2.3,3.2,3,2.2,2,0.9,0.4,-0.7,0.6,2.8,2.1,8.484,8.545,8.606,8.67,8.739,8.815,40.636,29.701,3.647,55.985,78.16,61.771,39.8,39.6,43.2,41,37.2,33.3,Developed,Europe
169,Syria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Developing,Asia
171,Taiwan Province of China,2.8,3.1,3.4,6.6,2.6,1.3,25825.566,25903.168,28571.44,33070.701,32609.595,32404.32,3.7,3.7,3.9,4,3.7,3.7,1.4,0.6,-0.2,2,2.9,2.5,23.589,23.603,23.561,23.375,23.334,23.32,70.883,65.71,97.56,118.298,101.032,104.086,33.9,32.7,32.1,30.2,29.7,29.1,Developed,Asia
172,Tajikistan,7.6,7.4,4.4,9.4,8,8.3,852.341,893.318,858.445,925.135,1066.747,1183.908,NA,NA,NA,NA,NA,NA,3.8,7.8,8.6,9,6.6,3.7,9.107,9.292,9.475,9.657,9.836,10.013,-0.38,-0.185,0.354,0.736,1.635,0.584,46.6,43.5,51.8,42.1,32.5,30.9,Developing,Asia
173,Tanzania,7,6.9,4.5,4.8,4.7,5.1,1001.744,1043.939,1092.613,1137.865,1205.866,1249.348,NA,NA,NA,NA,NA,NA,3.5,3.4,3.3,3.7,4.4,3.8,54.68,56.322,58.001,59.73,61.51,63.343,-1.936,-1.77,-1.566,-2.639,-4.211,-4.187,42,40.4,41.3,43.4,44.9,46.9,Developing,Africa
174,Thailand,4.2,2.1,-6.1,1.6,2.5,1.9,7296.037,7811.477,7170.503,7237.504,7072.418,7335.637,1.1,1,1.7,1.9,1.3,1,1.1,0.7,-0.8,1.2,6.1,1.2,69.428,69.626,69.8,69.951,70.078,70.183,28.479,38.256,20.933,-10.723,-17.162,7.412,41.9,41.1,49.4,58.3,60.5,62.4,Developing,Asia
175,Timor-Leste,-0.7,2.1,-7.2,1.6,4,2.3,1264.501,1611.123,1676.769,2764.355,2406.607,1760.628,NA,NA,NA,NA,NA,NA,2.3,0.9,0.5,3.8,7,8.4,1.253,1.271,1.29,1.31,1.332,1.351,-0.191,0.536,0.459,1.525,0.474,-1.70E-02,9.1,9.4,10.1,6.5,7.9,10.9,Developing,Asia
176,Togo,4.8,4.9,2,6,5.8,5.6,873.964,848.341,876.511,964.325,919.575,1001.112,NA,NA,NA,NA,NA,NA,0.9,0.7,1.8,4.5,7.6,5.3,8.047,8.243,8.443,8.647,8.856,9.07,-0.185,-5.50E-02,-2.10E-02,-0.187,-0.284,-0.262,58,54.9,62.2,64.9,67.4,68,Developing,Africa
177,Tonga,0.9,-0.2,1.3,-1.3,0,2,4330.348,4434.799,4438.581,4576.702,4756.066,5218.576,NA,NA,NA,NA,NA,NA,6.8,3.3,0.4,1.4,8.5,10.2,0.1,0.1,0.1,0.1,0.1,0.1,-3.20E-02,-1.70E-02,-2.90E-02,-3.10E-02,-3.20E-02,-3.50E-02,50.7,47.5,48,48.8,47.5,43.3,Developing,Oceania
178,Trinidad and Tobago,-0.6,0.4,-9.1,-1,1.5,1.1,17677.747,17043.863,14868.061,17412.427,21252.661,19718.195,NA,NA,NA,NA,NA,NA,1,1,0.6,2.1,5.8,4.6,1.39,1.395,1.399,1.407,1.414,1.421,1.626,1.02,-1.356,2.629,5.244,3.397,40.5,45.3,60.6,60,50.7,56.1,Developing,North America
179,Tunisia,2.6,1.6,-9,4.7,2.7,0,3661.194,3556.377,3569.972,3895.114,3676.784,3967.481,15.5,14.9,17.4,16.2,15.2,16.4,7.3,6.7,5.6,5.7,8.3,9.3,11.659,11.783,11.903,12.019,12.129,12.235,-4.61,-3.388,-2.536,-2.795,-4.012,-1.306,72.9,67.3,77.7,79.7,82.9,82.4,Developing,Africa
180,Turkmenistan,1.7,-3.7,-2.1,-0.3,5.3,2,8128.406,8611.769,8381.012,9608.222,12123.362,11926.706,NA,NA,NA,NA,NA,NA,13.3,5.1,6.1,19.5,11.2,-1.6,6.065,6.158,6.25,6.342,6.431,6.516,3.022,1.545,1.538,4.019,5.479,3.664,18.7,15.3,13.3,10.7,5.8,4.7,Developing,Asia
181,Tuvalu,1.4,13.9,-3.3,0.2,0.4,3.9,4547.987,5276.537,5162.322,6080.313,6009.779,6694.759,NA,NA,NA,NA,NA,NA,2.2,3.5,1.9,6.2,11.5,7.5,1.10E-02,0.01,0.01,0.01,1.10E-02,0.01,2.90E-02,-1.20E-02,8.00E-03,1.50E-02,3.00E-03,7.00E-03,11.9,11.5,12.1,11.1,9.4,7.5,Developing,Oceania
182,Turkey,3,0.8,1.9,11.4,5.5,5.1,9727.66,9144.221,8576.486,9540.539,10621.485,13235.882,10.9,13.7,13.1,12,10.4,9.4,16.3,15.2,12.3,19.6,72.3,53.9,82.004,83.155,83.614,84.68,85.28,85.372,-14.604,15.013,-31.085,-6.433,-45.799,-45.009,29.9,32.4,39.4,40.4,30.8,29.3,Developing,Asia
183,Uganda,5.6,7.6,-1.1,5.5,6.3,4.6,879.044,951.537,919.329,1007.258,1079.393,1123.325,NA,NA,NA,NA,NA,NA,2.5,2.1,2.8,2.2,7.2,5.4,38.823,39.823,41.222,42.46,43.95,45.484,-2.085,-2.632,-3.598,-3.605,-4.065,-3.766,34.9,37.5,46.3,50.4,50,51,Developing,Africa
184,Ukraine,3.5,3.2,-3.8,3.4,-28.8,5.3,3119.301,3693.498,3780.393,4875.094,4661.561,5241.316,9,8.5,9.2,9.8,24.5,19.1,10.9,7.9,2.7,9.4,20.2,12.9,41.984,41.733,41.419,40.998,34.511,34.026,-4.284,-4.208,5.172,-3.882,7.972,-9.655,60.4,50.6,60.6,48.9,77.7,82.3,Developed,Europe
185,United Arab Emirates,1.3,1.1,-5,4.4,7.5,3.6,45591.68,43981.612,37648.953,43438.527,48897.383,48140.644,NA,NA,NA,NA,NA,NA,3.1,-1.9,-2.1,-0.1,4.8,1.6,9.367,9.504,9.282,9.558,10.281,10.68,41.242,37.321,21.103,47.951,66.475,54.831,21.3,26.8,41.3,36.3,32.1,32.4,Developing,Asia
186,United Kingdom,1.4,1.6,-10.3,8.6,4.8,0.3,43275.096,42712.614,40230.545,46731.477,46103.227,49647.559,4.2,3.9,4.7,4.6,3.9,4,2.5,1.8,0.9,2.6,9.1,7.3,66.436,66.797,67.081,67.28,67.791,68.122,-112.902,-76.688,-79.182,-13.738,-65.683,-66.322,86.3,85.7,105.8,105.1,99.6,100,Developed,Europe
187,United States,3,2.6,-2.2,6.1,2.5,2.9,63165.278,65561.32,64461.618,71257.958,77979.858,82715.1,3.9,3.7,8.1,5.4,3.6,3.6,2.4,1.8,1.2,4.7,8,4.1,327.023,328.547,331.269,332.33,333.508,335.135,-439.849,-441.752,-601.201,-867.98,-1012.098,-905.376,106.8,108,131.8,124.5,118.6,118.7,Developed,North America
188,Uruguay,0.2,0.9,-7.4,5.6,4.7,0.4,18645.281,17686.109,15198.839,17149.709,19737.342,21656.979,8.4,8.9,10.4,9.4,7.9,8.3,7.6,7.9,9.8,7.7,9.1,5.9,3.506,3.519,3.531,3.543,3.555,3.567,-0.301,0.767,-0.393,-1.5,-2.75,-2.912,57.9,59.6,68.1,64.1,60.3,64.5,Developing,South America
189,Uzbekistan,5.6,6.8,1.6,8,6,6.3,1797.362,2023.534,1959.678,2237.92,2555.187,2819.823,9.3,9,10.5,9.6,8.9,6.8,17.5,14.5,12.9,10.8,11.4,10,32.657,33.256,33.905,34.559,35.271,36.025,-3.593,-3.371,-3.028,-4.898,-2.847,-7.8,17.5,25.4,33.7,31.7,30.5,32.5,Developing,Asia
190,Vanuatu,2.9,3.2,-5,-1.6,1.9,2.2,3256.353,3187.38,3341.002,2951.692,3219.361,3364.838,NA,NA,NA,NA,NA,NA,2.4,2.7,5.3,2.3,6.7,11.2,0.285,0.292,0.302,0.312,0.323,0.334,4.50E-02,9.40E-02,-5.20E-02,-5.50E-02,-0.128,-2.40E-02,45.3,45.1,48,48.5,44.4,41.9,Developing,Oceania
191,Venezuela,-19.7,-27.7,-30,1,8,4,3529.72,2624.41,1566.602,2090.398,3421.754,3737.81,35.6,NA,NA,NA,NA,NA,65374.1,19906,2355.1,1588.5,186.5,337.5,28.903,27.817,27.951,27.586,26.917,26.54,8.613,4.296,-1.529,-0.684,3.308,3.067,175.3,206,329.1,249.7,160.7,146.3,Developing,South America
192,Vietnam,7.5,7.4,2.9,2.6,8.1,5,3216.254,3439.102,3548.892,3756.885,4101.73,4324.049,2.2,2.2,2.5,3.2,2.3,2,3.5,2.8,3.2,1.8,3.2,3.3,94.666,96.484,97.583,98.506,99.462,100.3,5.769,12.477,15.06,-8.15,1.404,25.09,43.8,41,41.3,39.2,34.7,34.4,Developing,Asia
193,West Bank and Gaza,1.2,1.4,-11.3,7,4.1,-5.4,3353.225,3442.754,3044.744,3464.383,3579.222,3180.667,NA,NA,NA,NA,NA,NA,-0.2,1.6,-0.7,1.2,3.7,5.9,4.854,4.977,5.101,5.227,5.355,5.477,-2.14,-1.779,-1.903,-1.778,-2.037,-2.895,33.1,34.5,47.1,50.2,47.1,49.7,Developing,Middle East
194,Yemen,0.8,2.1,-8.5,-1,1.5,-2,710.384,702.286,633.311,594.151,706.25,551.953,NA,NA,NA,NA,NA,NA,33.6,15.7,21.7,31.5,29.5,0.9,30.415,31.166,31.927,32.641,33.322,34.071,-0.687,-0.914,-3.162,-2.756,-4.168,-3.819,86.9,91.5,87,75.9,65.8,81.2,Developing,Asia
195,Zambia,4,1.4,-2.8,6.2,5.2,5.4,1475.2,1268.125,958.265,1134.713,1454.826,1369.129,NA,NA,NA,NA,NA,NA,7.5,9.2,15.7,22,11,10.9,17.836,18.38,18.928,19.473,20.018,20.57,-0.341,0.151,2.139,2.63,1.093,-0.546,75.2,94.4,140,111,99.5,127.3,Developing,Africa
196,Zimbabwe,5,-6.3,-7.8,8.5,6.1,5.3,2466.78,1705.022,1725.017,2264.653,2004.28,2119.318,NA,NA,NA,NA,NA,NA,10.6,255.3,557.2,98.5,193.4,667.4,14.968,15.268,15.582,15.904,16.229,16.624,-1.38,0.92,0.678,0.348,0.305,0.135,48.1,82.3,84.5,58.2,102.1,96.7,Developing,Africa
